index,ContractAge,Position,Nationality,Height,Overall Pick,GAMES_PLAYED_t,G_t,A_t,P_t,PLUS_MINUS_t,PIM_t,GP_PLAYOFF_t,G_PLAYOFF_t,A_PLAYOFF_t,P_PLAYOFF_t,PLUS_MINUS_PLAYOFF_t,PIM_PLAYOFF_t,TOI_t,ixG_t,xG±/60_t,RelxG±/60_t,C±/60_t,RelC±/60_t,TOI_PLAYOFF_t,ixG_PLAYOFF_t,xG±/60_PLAYOFF_t,RelxG±/60_PLAYOFF_t,C±/60_PLAYOFF_t,RelC±/60_PLAYOFF_t,G_PG_t,P_PG_t,PIM_PG_t,G_PG_PLAYOFF_t,P_PG_PLAYOFF_t,GAMES_PLAYED_t1,G_t1,A_t1,P_t1,PLUS_MINUS_t1,PIM_t1,GP_PLAYOFF_t1,G_PLAYOFF_t1,A_PLAYOFF_t1,P_PLAYOFF_t1,PLUS_MINUS_PLAYOFF_t1,PIM_PLAYOFF_t1,TOI_t1,ixG_t1,xG±/60_t1,RelxG±/60_t1,C±/60_t1,RelC±/60_t1,TOI_PLAYOFF_t1,ixG_PLAYOFF_t1,xG±/60_PLAYOFF_t1,RelxG±/60_PLAYOFF_t1,C±/60_PLAYOFF_t1,RelC±/60_PLAYOFF_t1,G_PG_t1,P_PG_t1,PIM_PG_t1,G_PG_PLAYOFF_t1,P_PG_PLAYOFF_t1,GAMES_PLAYED_t2,G_t2,A_t2,P_t2,PLUS_MINUS_t2,PIM_t2,GP_PLAYOFF_t2,G_PLAYOFF_t2,A_PLAYOFF_t2,P_PLAYOFF_t2,PLUS_MINUS_PLAYOFF_t2,PIM_PLAYOFF_t2,TOI_t2,ixG_t2,xG±/60_t2,RelxG±/60_t2,C±/60_t2,RelC±/60_t2,TOI_PLAYOFF_t2,ixG_PLAYOFF_t2,xG±/60_PLAYOFF_t2,RelxG±/60_PLAYOFF_t2,C±/60_PLAYOFF_t2,RelC±/60_PLAYOFF_t2,G_PG_t2,P_PG_t2,PIM_PG_t2,G_PG_PLAYOFF_t2,P_PG_PLAYOFF_t2,GAMES_PLAYED_avg,G_avg,A_avg,P_avg,PLUS_MINUS_avg,PIM_avg,GP_PLAYOFF_avg,G_PLAYOFF_avg,A_PLAYOFF_avg,P_PLAYOFF_avg,PLUS_MINUS_PLAYOFF_avg,PIM_PLAYOFF_avg,TOI_avg,ixG_avg,xG±/60_avg,RelxG±/60_avg,C±/60_avg,RelC±/60_avg,TOI_PLAYOFF_avg,ixG_PLAYOFF_avg,xG±/60_PLAYOFF_avg,RelxG±/60_PLAYOFF_avg,C±/60_PLAYOFF_avg,RelC±/60_PLAYOFF_avg,G_PG_avg,P_PG_avg,PIM_PG_avg,G_PG_PLAYOFF_avg,P_PG_PLAYOFF_avg,Current Salary
Zach Parise,39.0,L,USA,71.0,17.0,82.0,21.0,13.0,34.0,7.0,24.0,6.0,0.0,0.0,0.0,-2.0,2.0,13.25,18.36,0.16,0.13,-7.72,-4.78,11.416666666666666,0.51,-0.17,0.3,-13.77,-2.57,0.25609756097560976,0.4146341463414634,0.2926829268292683,0.0,0.0,82.0,15.0,20.0,35.0,-2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,12.583333333333334,11.25,0.03,0.24,-4.88,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.18292682926829268,0.4268292682926829,0.34146341463414637,0.0,0.0,45.0,7.0,11.0,18.0,7.0,6.0,4.0,2.0,1.0,3.0,-3.0,0.0,12.416666666666666,6.43,0.35,0.13,-10.54,-3.2,14.033333333333333,1.18,-0.43,-0.08,-29.11,-17.26,0.15555555555555556,0.4,0.13333333333333333,0.5,0.75,69.66666666666667,14.333333333333334,14.666666666666666,29.0,4.0,19.333333333333332,3.3333333333333335,0.6666666666666666,0.3333333333333333,1.0,-1.6666666666666667,0.6666666666666666,12.75,12.013333333333334,0.18000000000000002,0.16666666666666666,-7.713333333333334,-1.7666666666666668,8.483333333333333,0.5633333333333334,-0.19999999999999998,0.07333333333333332,-14.293333333333331,-6.61,0.198193315266486,0.4138211382113821,0.25582655826558265,0.16666666666666666,0.25,"$6,371,794"
John Moore,33.0,D,USA,75.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.19,-1.12,-1.69,-19.95,-28.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,5.0,0.0,2.0,2.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.166666666666668,0.09,-0.31,-0.43,-14.61,-22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,6.0,0.0,1.5,1.5,-0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.533333333333335,0.14,-0.7150000000000001,-1.06,-17.28,-25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27142857142857146,0.4857142857142857,0.0,0.0,"$2,750,000"
Miles Wood,28.0,L,USA,74.0,100.0,76.0,13.0,14.0,27.0,1.0,76.0,8.0,2.0,0.0,2.0,0.0,14.0,11.816666666666666,10.42,-0.07,-0.64,5.81,-3.5,11.783333333333333,0.93,-0.13,-0.26,-19.94,-15.58,0.17105263157894737,0.35526315789473684,1.0,0.25,0.25,3.0,0.0,0.0,0.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.033333333333333,0.21,-2.5,-2.5,-39.51,-37.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,55.0,17.0,8.0,25.0,-6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,13.483333333333333,8.81,0.08,0.24,-2.5,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3090909090909091,0.45454545454545453,0.5272727272727272,0.0,0.0,44.666666666666664,10.0,7.333333333333333,17.333333333333332,-2.3333333333333335,36.333333333333336,2.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,0.0,4.666666666666667,13.111111111111112,6.48,-0.83,-0.9666666666666668,-12.066666666666665,-14.296666666666667,3.9277777777777776,0.31,-0.043333333333333335,-0.08666666666666667,-6.646666666666667,-5.193333333333333,0.16004784688995213,0.2699362041467304,0.9535353535353535,0.08333333333333333,0.08333333333333333,"$3,200,000"
Steven Santini,28.0,D,USA,74.0,42.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.766666666666667,0.09,1.15,1.63,-15.28,-4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.116666666666666,0.0,3.83,4.74,103.71,99.99,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.7,0.16,-2.02,-1.74,-11.57,-7.09,12.4,0.15,-1.94,-0.68,-14.45,11.62,0.0,0.3333333333333333,0.0,0.0,0.0,2.3333333333333335,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,8.155555555555557,0.08333333333333333,-0.29000000000000004,-0.0366666666666667,-8.950000000000001,-3.86,5.5055555555555555,0.049999999999999996,0.63,1.3533333333333335,29.75333333333333,37.20333333333333,0.0,0.19444444444444442,0.16666666666666666,0.0,0.0,"$750,000"
Will Butcher,28.0,D,USA,70.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,6.0,8.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.266666666666666,1.69,-0.27,0.14,-4.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.21621621621621623,0.0,0.0,0.0,23.0,1.0,10.0,11.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.916666666666668,0.83,-0.51,-0.32,-9.6,-6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.4782608695652174,0.08695652173913043,0.0,0.0,30.0,1.5,8.0,9.5,-6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.09166666666667,1.26,-0.39,-0.09,-7.24,-2.9800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.04876615746180964,0.3472385428907168,0.043478260869565216,0.0,0.0,"$750,000"
Connor Carrick,29.0,D,USA,70.0,137.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,2.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,18.35,0.27,-0.68,-0.4,-26.56,-22.58,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.0,0.0,6.0,0.5,1.0,1.5,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,9.175,0.135,-0.34,-0.2,-13.28,-11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.5909090909090909,0.22727272727272727,0.0,0.0,"$750,000"
Wayne Simmonds,35.0,R,CAN,74.0,61.0,18.0,0.0,2.0,2.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.6,-0.65,-0.82,-6.18,-8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,2.7222222222222223,0.0,0.0,72.0,5.0,11.0,16.0,-7.0,96.0,2.0,0.0,0.0,0.0,-1.0,14.0,10.016666666666667,9.11,0.05,-0.39,0.82,-6.97,6.333333333333333,0.0,-2.47,-1.85,-43.92,-34.31,0.06944444444444445,0.2222222222222222,1.3333333333333333,0.0,0.0,38.0,7.0,2.0,9.0,-3.0,45.0,7.0,0.0,1.0,1.0,0.0,2.0,11.05,4.0,0.43,-0.02,7.94,4.0,11.05,0.86,0.54,0.09,17.88,10.9,0.18421052631578946,0.23684210526315788,1.1842105263157894,0.0,0.14285714285714285,42.666666666666664,4.0,5.0,9.0,-3.0,63.333333333333336,3.0,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,5.333333333333333,9.772222222222222,4.569999999999999,-0.056666666666666664,-0.41,0.8600000000000003,-3.8299999999999996,5.794444444444444,0.2866666666666667,-0.6433333333333334,-0.5866666666666667,-8.680000000000001,-7.803333333333335,0.08455165692007797,0.19005847953216373,1.746588693957115,0.0,0.047619047619047616,"$900,000"
John Hayden,28.0,C,USA,75.0,74.0,7.0,2.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,1.03,-0.33,-0.53,2.71,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.0,0.0,55.0,2.0,2.0,4.0,-12.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,11.083333333333334,5.41,-0.65,-0.15,-15.67,-7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.07272727272727272,1.5272727272727273,0.0,0.0,29.0,2.0,3.0,5.0,-4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,9.933333333333334,1.51,-0.36,-0.13,-8.15,-3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.1724137931034483,1.2758620689655173,0.0,0.0,30.333333333333332,2.0,1.6666666666666667,3.6666666666666665,-4.666666666666667,42.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,9.972222222222223,2.65,-0.4466666666666666,-0.27,-7.036666666666666,-4.316666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1303478131064338,0.17695178384833557,1.2677115987460816,0.0,0.0,"$750,000"
Dakota Mermis,29.0,D,USA,72.0,121.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.533333333333333,0.04,0.93,0.83,-5.67,-5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.02,0.0,-0.49,-7.38,-12.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.683333333333334,0.08,1.78,1.58,3.61,9.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.305555555555557,0.04666666666666667,0.9033333333333333,0.64,-3.146666666666667,-2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$750,000"
Dmitry Kulikov,33.0,D,RUS,73.0,14.0,61.0,3.0,12.0,15.0,-11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,17.45,2.69,-1.42,-0.17,-21.74,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.04918032786885246,0.2459016393442623,0.4918032786885246,0.0,0.0,80.0,7.0,17.0,24.0,23.0,39.0,2.0,0.0,1.0,1.0,-4.0,2.0,16.516666666666666,3.71,0.27,-0.03,1.7,-1.55,12.383333333333333,0.06,-0.55,-1.02,3.4,-1.91,0.0875,0.3,0.4875,0.0,0.5,10.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,-3.0,0.0,17.283333333333335,0.38,0.97,0.99,18.86,20.77,17.966666666666665,0.05,-0.88,-1.11,17.96,10.55,0.0,0.2,0.2,0.0,0.0,50.333333333333336,3.3333333333333335,10.333333333333334,13.666666666666666,4.333333333333333,23.666666666666668,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,-2.3333333333333335,0.6666666666666666,17.083333333333332,2.2600000000000002,-0.05999999999999998,0.26333333333333336,-0.39333333333333326,6.2,10.116666666666665,0.03666666666666667,-0.47666666666666674,-0.71,7.12,2.8800000000000003,0.045560109289617484,0.2486338797814208,0.39310109289617484,0.0,0.16666666666666666,"$2,250,000"
